"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
4292,7.2,0.0294802136217766,0.232175091203376,0.40785628994507,0.00684457128633098,0.0120236905545659
1004,7.2,0.0294802136217766,0,0,0,0
4337,7.2,0.0294802136217766,0.258089296184005,0.453379138436243,0.00760852758499845,0.0133657138527575
4774,7.2,0.0294802136217766,0.0789927184295851,0.138764571618687,0.00232872221386902,0.00409080921445322
2948,7.2,0.0294802136217766,0,0,0,0
3175,7.2,0.0294802136217766,0,0,0,0
11726,7.3,0.0235987885862958,0.123536831679609,0.13120450807385,0.00291531957342789,0.00309626744760371
11923,7.3,0.0235987885862958,0.0521379855990205,0.0553740828502249,0.00123039329946662,0.00130676127434248
11495,7.3,0.0235987885862958,0.258824185004138,0.274888868440103,0.00610793722293296,0.00648704429104405
10654,7.3,0.0235987885862958,0,0,0,0
9822,7.3,0.0235987885862958,0,0,0,0
11172,7.3,0.0235987885862958,0.507060350312609,0.538532540635823,0.0119660100075203,0.0127087155733055
18951,7.4,0.018909631170629,0.0382397875394419,0.125936444245241,0.000723100278414062,0.002381411711618
17340,7.4,0.018909631170629,0,0,0,0
15336,7.4,0.018909631170629,0,0,0,0
14819,7.4,0.018909631170629,0,0,0,0
19131,7.4,0.018909631170629,0.173146991718092,0.570231109318945,0.00327414575169308,0.0107828599592399
19140,7.4,0.018909631170629,0.0922567591051658,0.303832446435814,0.00174454128767626,0.00574535949977114
26036,7.5,0.0151674296297169,0.0669604645005435,0.224140161029478,0.00101561813328515,0.00339963011960803
26174,7.5,0.0151674296297169,0.101757045651328,0.340616523022889,0.00154339282924441,0.00516627714366852
26028,7.5,0.0151674296297169,0.0429066969614402,0.143623764230342,0.000650784306806233,0.00217840333711876
24895,7.5,0.0151674296297169,0,0,0,0
22494,7.5,0.0151674296297169,0,0,0,0
26032,7.5,0.0151674296297169,0.0871195083948474,0.291619551717291,0.00132137901295438,0.00442311902932161
33569,7.6,0.0121780396794789,0.512503297123342,0.379382445234912,0.00624128548823182,0.0046201344717685
33591,7.6,0.0121780396794789,0.269446232084402,0.199458561459582,0.00328132690580994,0.00242901427586657
33898,7.6,0.0121780396794789,0.384452609595835,0.28459245418339,0.00468187913453729,0.00346577819952561
33051,7.6,0.0121780396794789,0.0905549498450764,0.0670336337213493,0.00110278177238656,0.000816338251318247
31364,7.6,0.0121780396794789,0,0,0,0
33357,7.6,0.0121780396794789,0.0939311866535955,0.0695329054007661,0.00114389771820803,0.000846774480999983
41101,7.7,0.00978767841445915,1.21129893201748,0.819925962083955,0.0118558044103649,0.00802517164054377
36321,7.7,0.00978767841445915,0,0,0,0
39992,7.7,0.00978767841445915,0.191022414590368,0.129302712090848,0.00186966596396401,0.00126557336406262
36929,7.7,0.00978767841445915,0,0,0,0
37931,7.7,0.00978767841445915,0,0,0,0
40430,7.7,0.00978767841445915,0.0750058610083092,0.0507713258251975,0.000734133246748952,0.000496933409852758
47431,7.8,0.0078744261488046,0.0530320359313265,0.110138068095932,0.000417596850461982,0.000867274083393429
47400,7.8,0.0078744261488046,0.0327898566679921,0.0680986766420157,0.000258201304761992,0.000536238000048878
47252,7.8,0.0078744261488046,0.119632540435095,0.248455422341171,0.000942037604650038,0.00195644387449561
45742,7.8,0.0078744261488046,0,0,0,0
47487,7.8,0.0078744261488046,0.0931524886427811,0.193461083612362,0.00073352239239494,0.00152339501557326
46830,7.8,0.0078744261488046,0.182898127831525,0.379846749308519,0.00144021780036396,0.00299107517529343
54579,7.9,0.00634153826001222,0.0454931869886735,0.552221471108489,0.000288496785858563,0.00350193358703472
51587,7.9,0.00634153826001222,0,0,0,0
50354,7.9,0.00634153826001222,0,0,0,0
50680,7.9,0.00634153826001222,0,0,0,0
54539,7.9,0.00634153826001222,0.0368889538168149,0.447778528891511,0.000233932712001156,0.0028396046729775
52244,7.9,0.00634153826001222,0,0,0,0
58983,8,0.00511217751438642,0,0,0,0
60548,8,0.00511217751438642,0.0248946819724065,0.0201268733839477,0.000127266033407137,0.00010289214954832
58971,8,0.00511217751438642,0,0,0,0
60967,8,0.00511217751438642,0.68607370235781,0.554677442946142,0.00350733055440544,0.00283560955156662
60273,8,0.00511217751438642,0.147692423935624,0.119406494913872,0.000755029888688923,0.000610427198370395
60401,8,0.00511217751438642,0.0731257616583945,0.05912077718585,0.000373831874472425,0.000302235907762552
58911,8,0.00511217751438642,0,0,0,0
60091,8,0.00511217751438642,0.229792674085692,0.185782974090928,0.0011747409414316,0.000949755542703474
60392,8,0.00511217751438642,0.0458483860690874,0.0370675416658745,0.000234385088333296,0.000189495853017865
60348,8,0.00511217751438642,0.0294600621872574,0.0238178958133859,0.000150605067486123,0.00012176131141719
59193,8,0.00511217751438642,0,0,0,0
65953,8.1,0.00412526196217522,0.0718670038838614,0.0776895273345063,0.000296470217457592,0.000320489651972411
65624,8.1,0.00412526196217522,0.0192790160813512,0.0208409640849222,7.95309917085623e-05,8.59744363945892e-05
62907,8.1,0.00412526196217522,0,0,0,0
65255,8.1,0.00412526196217522,0.0603671749947096,0.065258004903577,0.000249030410769651,0.00026920636535617
65708,8.1,0.00412526196217522,0.0177462158386974,0.0191839793782489,7.32077891719299e-05,7.91389404122441e-05
65863,8.1,0.00412526196217522,0.0293505647844743,0.0317284898754304,0.000121078768473751,0.000130888332400375
65990,8.1,0.00412526196217522,0.130706591645286,0.141296182888555,0.000539198930719866,0.000582883768670709
65567,8.1,0.00412526196217522,0.0875080935679538,0.0945978273732482,0.00036099380977835,0.000390240818967279
66014,8.1,0.00412526196217522,0.125953253952909,0.136157739115682,0.000519590167544131,0.000561686342029702
65645,8.1,0.00412526196217522,0.0450945207885521,0.0487479902612915,0.000186026711311533,0.000201098229957394
65527,8.1,0.00412526196217522,0.122702505032063,0.132643620904329,0.000506179976672381,0.000547189683841816
62350,8.1,0.00412526196217522,0,0,0,0
65879,8.1,0.00412526196217522,0.0772153534735598,0.0834711896995444,0.00031853356058039,0.000344340523805042
66079,8.1,0.00412526196217522,0.118283006163068,0.127866062920383,0.00048794838609624,0.000527481005618559
65812,8.1,0.00412526196217522,0.0189806465684143,0.0205184212602825,7.83001393061712e-05,8.46438627489307e-05
70806,8.2,0.00333218956758894,0.0669125397961915,0.0586751054923531,0.000222965267049749,0.0001955165743988
70771,8.2,0.00333218956758894,0.069283821983061,0.0607544650995433,0.000230866828814645,0.000202445394789145
70586,8.2,0.00333218956758894,0.0453824334386948,0.0397955163206445,0.000151222871256218,0.000132606204320467
71077,8.2,0.00333218956758894,0.00844792196896337,0.00740791956529958,2.81500774527852e-05,2.46845922930292e-05
71566,8.2,0.00333218956758894,0.168078762346352,0.147387009097773,0.000560070298423775,0.000491121454113735
71050,8.2,0.00333218956758894,0.0453691574296903,0.0397838746876826,0.000151178633077514,0.000132567412192562
70762,8.2,0.00333218956758894,0.0233380208590423,0.0204649358708842,7.77667096346738e-05,6.81930458103369e-05
70984,8.2,0.00333218956758894,0.0253405857695742,0.022220970057281,8.4439635537968e-05,7.40444846065778e-05
68063,8.2,0.00333218956758894,0,0,0,0
71038,8.2,0.00333218956758894,0.0240243251037446,0.0210667509279783,8.0053605479063e-05,7.0198407665204e-05
71212,8.2,0.00333218956758894,0.0285205886656913,0.025009490803377,9.5036008013312e-05,8.33363643457245e-05
70896,8.2,0.00333218956758894,0.0182890560593324,0.016037536415528,6.09426018019567e-05,5.34401115336502e-05
71037,8.2,0.00333218956758894,0.00818749470959333,0.00717955285013431,2.72822844559965e-05,2.3923631107171e-05
69434,8.2,0.00333218956758894,0,0,0,0
71016,8.2,0.00333218956758894,0.0631313989040123,0.0553594513353622,0.000210365788815246,0.000184468186207142
70666,8.2,0.00333218956758894,0.0297860285619407,0.0261191455800874,9.92526936340049e-05,8.70339444163038e-05
70690,8.2,0.00333218956758894,0.0472429616749223,0.0414269996100946,0.00015742250403518,0.000138042615917268
70866,8.2,0.00333218956758894,0.0370613592622095,0.0324988286354648,0.0001234954746942,0.000108292257737956
70896,8.2,0.00333218956758894,0.0182890560593324,0.016037536415528,6.09426018019567e-05,5.34401115336502e-05
70861,8.2,0.00333218956758894,0.0214928616534916,0.01884692956944,7.16182893793969e-05,6.28015420923713e-05
71039,8.2,0.00333218956758894,0.0122999904831784,0.0107857696233571,4.09858999694903e-05,3.5940229017368e-05
70677,8.2,0.00333218956758894,0.081988322197072,0.0718949462792332,0.000273200631889204,0.000239567589954028
