"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
4292,7.2,0.0811449130935438,0.0843499737123455,0.0411913800004372,0.00684457128633098,0.00334247095033861
1004,7.2,0.0811449130935438,0.324967447801656,0.158694271510023,0.0263694553100961,0.012877232870124
4337,7.2,0.0811449130935438,0.0937646895527184,0.045788952716932,0.00760852758499845,0.00371554058885983
4774,7.2,0.0811449130935438,0.0286983142268508,0.0140145054546371,0.00232872221386902,0.00113720582716552
2948,7.2,0.0811449130935438,1.01557078921836,0.495942801816366,0.0824084034314657,0.0402432355527576
3175,7.2,0.0811449130935438,0.500406683170792,0.244368088501605,0.0406054568173224,0.0198292273042981
11726,7.3,0.0655884465562588,0.0444486754374836,0.0258220455205502,0.00291531957342789,0.00169362785259789
11923,7.3,0.0655884465562588,0.0187592992984099,0.0108980408448497,0.00123039329946662,0.000714785569520351
11495,7.3,0.0655884465562588,0.0931252003002367,0.05410022093111,0.00610793722293296,0.0035483494492219
10654,7.3,0.0655884465562588,0.592242983865853,0.344058065579925,0.0388442972956047,0.0225662340465387
9822,7.3,0.0655884465562588,0.663342076723795,0.385362423790325,0.0435075763477163,0.0252753227375621
11172,7.3,0.0655884465562588,0.309427790277149,0.17975920333324,0.020294888085614,0.0117901269008179
18951,7.4,0.0530698598229807,0.0136254416504213,0.010587633880685,0.000723100278414062,0.000561884245904992
17340,7.4,0.0530698598229807,0.400662666534565,0.31133446766445,0.021263111549291,0.0165224765570147
15336,7.4,0.0530698598229807,0.260610848406504,0.202507362260616,0.0138305811932812,0.0107470373282924
14819,7.4,0.0530698598229807,0.517453849813343,0.402086923311231,0.0274612032744558,0.0213386966567806
19131,7.4,0.0530698598229807,0.0616950141307003,0.047940040303893,0.00327414575169308,0.00254417121883565
19140,7.4,0.0530698598229807,0.0328725437281224,0.0255435725791248,0.00174454128767626,0.00135559381615229
26036,7.5,0.0429928620295217,0.0236229477485766,0.0262890397461824,0.00101561813328515,0.00113024105869623
26174,7.5,0.0429928620295217,0.0358988156728115,0.0399503653019037,0.00154339282924441,0.00171758054345374
26028,7.5,0.0429928620295217,0.0151370314997723,0.0168454007929941,0.000650784306806233,0.000724231992125188
24895,7.5,0.0429928620295217,0.482487797125995,0.53694149479959,0.0207435312927658,0.0230846516038439
22494,7.5,0.0429928620295217,0.310703978719843,0.345770110182594,0.0133580532891257,0.0148656466410128
26032,7.5,0.0429928620295217,0.030734846450721,0.0342035891767362,0.00132137901295438,0.00147051019038986
33569,7.6,0.0348488567545037,0.179095846162162,0.158230294960931,0.00624128548823182,0.00551414488331634
33591,7.6,0.0348488567545037,0.0941588106871217,0.0831888438925804,0.00328132690580994,0.0028990361043853
33898,7.6,0.0348488567545037,0.134348141390097,0.11869591894588,0.00468187913453729,0.00413641707668916
33051,7.6,0.0348488567545037,0.0316447044491365,0.0279579399870872,0.00110278177238656,0.000974302245761014
31364,7.6,0.0348488567545037,0.659796200934632,0.582926682696256,0.0229931432935367,0.0203143284636599
33357,7.6,0.0348488567545037,0.0328245407379166,0.0290003195172649,0.00114389771820803,0.001010627980692
41101,7.7,0.0282833422858394,0.419179752185822,0.260516721115222,0.0118558044103649,0.00736828359448639
36321,7.7,0.0282833422858394,0.657669129657163,0.408735880832894,0.0186010811049236,0.0115604168221008
39992,7.7,0.0282833422858394,0.0661048452148493,0.04108361015865,0.00186966596396401,0.00116198180845509
36929,7.7,0.0282833422858394,0.202310276538107,0.125734150127216,0.00572201079927009,0.00355618200506717
37931,7.7,0.0282833422858394,0.23781165771393,0.14779796253886,0.00672610851468596,0.00418022036363624
