"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
4292,7.2,0.0305222513798565,0,0,0,0
1004,7.2,0.0305222513798565,0,0,0,0
4337,7.2,0.0305222513798565,0,0,0,0
4774,7.2,0.0305222513798565,0,0,0,0
2948,7.2,0.0305222513798565,2.69994511236652,0.669911530820996,0.0824084034314657,0.0204472081459829
3175,7.2,0.0305222513798565,1.33035588731572,0.330088469179004,0.0406054568173224,0.0100750432338736
11726,7.3,0.0248824289285281,0,0,0,0
11923,7.3,0.0248824289285281,0,0,0,0
11495,7.3,0.0248824289285281,0,0,0,0
10654,7.3,0.0248824289285281,1.56111356359865,0.428363203416535,0.0388442972956047,0.0106587169646085
9822,7.3,0.0248824289285281,1.74852609737927,0.479788439352359,0.0435075763477163,0.0119383017429145
11172,7.3,0.0248824289285281,0.334729302433355,0.091848357231106,0.00832887807809373,0.00228541022100505
18951,7.4,0.0203021936528294,0,0,0,0
17340,7.4,0.0203021936528294,1.04733074232733,1,0.021263111549291,0.0203021936528294
15336,7.4,0.0203021936528294,0,0,0,0
14819,7.4,0.0203021936528294,0,0,0,0
19131,7.4,0.0203021936528294,0,0,0,0
19140,7.4,0.0203021936528294,0,0,0,0
26036,7.5,0.0165791410142858,0,0,0,0
26174,7.5,0.0165791410142858,0,0,0,0
26028,7.5,0.0165791410142858,0,0,0,0
24895,7.5,0.0165791410142858,1.25118251149994,1,0.0207435312927658,0.0165791410142858
22494,7.5,0.0165791410142858,0,0,0,0
26032,7.5,0.0165791410142858,0,0,0,0
33569,7.6,0.013550166812707,0,0,0,0
33591,7.6,0.013550166812707,0,0,0,0
33898,7.6,0.013550166812707,0,0,0,0
33051,7.6,0.013550166812707,0,0,0,0
31364,7.6,0.013550166812707,1.69689005392719,1,0.0229931432935367,0.013550166812707
33357,7.6,0.013550166812707,0,0,0,0
41101,7.7,0.0110837146240659,0,0,0,0
36321,7.7,0.0110837146240659,0,0,0,0
39992,7.7,0.0110837146240659,0,0,0,0
36929,7.7,0.0110837146240659,0,0,0,0
37931,7.7,0.0110837146240659,0,0,0,0
40430,7.7,0.0110837146240659,0,0,0,0
47431,7.8,0.00907357585470769,0,0,0,0
47400,7.8,0.00907357585470769,0,0,0,0
47252,7.8,0.00907357585470769,0,0,0,0
45742,7.8,0.00907357585470769,1.48771966680516,0.963731801540936,0.013498937247297,0.00874449360487578
47487,7.8,0.00907357585470769,0,0,0,0
46830,7.8,0.00907357585470769,0.0559874770562399,0.036268198459064,0.0005080066199835,0.00032908224983191
54579,7.9,0.00743392699370214,0,0,0,0
51587,7.9,0.00743392699370214,0,0,0,0
50354,7.9,0.00743392699370214,0,0,0,0
50680,7.9,0.00743392699370214,0,0,0,0
54539,7.9,0.00743392699370214,0,0,0,0
52244,7.9,0.00743392699370214,1.00027029876024,1,0.00743593637495222,0.00743392699370214
58983,8,0.006095353583988,0.974629311288072,0.247592785647685,0.00594071026561951,0.00150916557336719
60548,8,0.006095353583988,0,0,0,0
58971,8,0.006095353583988,1.15479020482459,0.293360481097487,0.0070388546137318,0.00178813585985801
60967,8,0.006095353583988,0,0,0,0
60273,8,0.006095353583988,0,0,0,0
60401,8,0.006095353583988,0,0,0,0
58911,8,0.006095353583988,1.0498441155429,0.26670019673384,0.00639917109230311,0.00162563200001192
60091,8,0.006095353583988,0,0,0,0
60392,8,0.006095353583988,0,0,0,0
60348,8,0.006095353583988,0,0,0,0
59193,8,0.006095353583988,0.757156844969039,0.192346536520988,0.00461513868862308,0.00117242015075088
65953,8.1,0.00500166183601013,0,0,0,0
65624,8.1,0.00500166183601013,0,0,0,0
62907,8.1,0.00500166183601013,0,0,0,0
65255,8.1,0.00500166183601013,0.0373050540613834,1,0.000186587265189116,0.00500166183601013
65708,8.1,0.00500166183601013,0,0,0,0
65863,8.1,0.00500166183601013,0,0,0,0
65990,8.1,0.00500166183601013,0,0,0,0
65567,8.1,0.00500166183601013,0,0,0,0
66014,8.1,0.00500166183601013,0,0,0,0
65645,8.1,0.00500166183601013,0,0,0,0
65527,8.1,0.00500166183601013,0,0,0,0
62350,8.1,0.00500166183601013,0,0,0,0
65879,8.1,0.00500166183601013,0,0,0,0
66079,8.1,0.00500166183601013,0,0,0,0
65812,8.1,0.00500166183601013,0,0,0,0
70806,8.2,0.00410731952814181,0,0,0,0
70771,8.2,0.00410731952814181,0,0,0,0
70586,8.2,0.00410731952814181,0.00714082227610735,0.0118777182670172,2.93296387816458e-05,4.87855841878864e-05
71077,8.2,0.00410731952814181,0,0,0,0
71566,8.2,0.00410731952814181,0,0,0,0
71050,8.2,0.00410731952814181,0,0,0,0
70762,8.2,0.00410731952814181,0,0,0,0
70984,8.2,0.00410731952814181,0,0,0,0
68063,8.2,0.00410731952814181,0,0,0,0
71038,8.2,0.00410731952814181,0,0,0,0
71212,8.2,0.00410731952814181,0,0,0,0
70896,8.2,0.00410731952814181,0,0,0,0
71037,8.2,0.00410731952814181,0,0,0,0
69434,8.2,0.00410731952814181,0.59405396241048,0.988122281732983,0.00243996944057859,0.00405853394395393
71016,8.2,0.00410731952814181,0,0,0,0
70666,8.2,0.00410731952814181,0,0,0,0
70690,8.2,0.00410731952814181,0,0,0,0
70866,8.2,0.00410731952814181,0,0,0,0
70896,8.2,0.00410731952814181,0,0,0,0
70861,8.2,0.00410731952814181,0,0,0,0
71039,8.2,0.00410731952814181,0,0,0,0
70677,8.2,0.00410731952814181,0,0,0,0
71086,8.2,0.00410731952814181,0,0,0,0
71080,8.2,0.00410731952814181,0,0,0,0
70992,8.2,0.00410731952814181,0,0,0,0
71078,8.2,0.00410731952814181,0,0,0,0
70659,8.2,0.00410731952814181,0,0,0,0
71354,8.2,0.00410731952814181,0,0,0,0
76126,8.3,0.00337540012243224,0,0,0,0
76130,8.3,0.00337540012243224,0,0,0,0
76107,8.3,0.00337540012243224,0,0,0,0
76205,8.3,0.00337540012243224,0,0,0,0
75871,8.3,0.00337540012243224,0,0,0,0
76262,8.3,0.00337540012243224,0,0,0,0
76100,8.3,0.00337540012243224,0,0,0,0
73605,8.3,0.00337540012243224,0,0,0,0
76230,8.3,0.00337540012243224,0,0,0,0
74733,8.3,0.00337540012243224,0.191929911528253,0.310021273746427,0.000647840246870875,0.00104644584536029
74003,8.3,0.00337540012243224,0,0,0,0
73841,8.3,0.00337540012243224,0,0,0,0
76306,8.3,0.00337540012243224,0,0,0,0
76037,8.3,0.00337540012243224,0,0,0,0
76345,8.3,0.00337540012243224,0,0,0,0
75729,8.3,0.00337540012243224,0.0382342592388728,0.061759178939868,0.000129055923315997,0.000208461940154945
75848,8.3,0.00337540012243224,0,0,0,0
76162,8.3,0.00337540012243224,0,0,0,0
74812,8.3,0.00337540012243224,0.207013137089418,0.334384963405027,0.000698752168276704,0.00112868304641683
76153,8.3,0.00337540012243224,0,0,0,0
76053,8.3,0.00337540012243224,0,0,0,0
76149,8.3,0.00337540012243224,0,0,0,0
76326,8.3,0.00337540012243224,0,0,0,0
73511,8.3,0.00337540012243224,0,0,0,0
