"stage_seq","stage_exrates_ptha18","stage_exrates_rs_simple"
13.1,6.59135879532027e-06,0
13.2,6.29105834556723e-06,0
13.3,6.29105834556723e-06,0
13.4,5.98066640211083e-06,0
13.5,5.98066640211083e-06,0
13.6,4.62378584957042e-06,0
13.7,4.34658282534858e-06,0
13.8,4.15669619981944e-06,0
13.9,4.15669619981944e-06,0
14,3.74704306308646e-06,0
14.1,3.48564704133802e-06,0
14.2,3.48564704133802e-06,0
14.3,3.38728079728658e-06,0
14.4,3.38728079728658e-06,0
14.5,3.38728079728658e-06,0
14.6,3.38728079728658e-06,0
14.7,3.38728079728658e-06,0
14.8,3.38728079728658e-06,0
14.9,3.24433174300661e-06,0
15,3.24433174300661e-06,0
15.1,3.11596551896263e-06,0
15.2,3.11596551896263e-06,0
15.3,3.11596551896263e-06,0
15.4,2.92106659381808e-06,0
15.5,2.68190101708392e-06,0
15.6,2.68190101708392e-06,0
15.7,2.56330046104424e-06,0
15.8,2.56330046104424e-06,0
15.9,2.56330046104424e-06,0
16,2.56330046104424e-06,0
16.1,2.4224648916057e-06,0
16.2,2.4224648916057e-06,0
16.3,2.20798875116666e-06,0
16.4,2.0585801297526e-06,0
16.5,2.0585801297526e-06,0
16.6,2.0585801297526e-06,0
16.7,2.0585801297526e-06,0
16.8,2.0585801297526e-06,0
16.9,2.0585801297526e-06,0
17,2.0585801297526e-06,0
17.1,2.0585801297526e-06,0
17.2,2.0585801297526e-06,0
17.3,1.8726143211985e-06,0
17.4,1.8726143211985e-06,0
17.5,1.8726143211985e-06,0
17.6,1.8726143211985e-06,0
17.7,1.8726143211985e-06,0
17.8,1.8726143211985e-06,0
17.9,1.8726143211985e-06,0
18,1.8726143211985e-06,0
18.1,1.72154019089967e-06,0
18.2,1.72154019089967e-06,0
18.3,1.72154019089967e-06,0
18.4,1.72154019089967e-06,0
18.5,1.72154019089967e-06,0
18.6,1.72154019089967e-06,0
18.7,1.72154019089967e-06,0
18.8,1.72154019089967e-06,0
18.9,5.30715669808288e-07,0
19,5.30715669808288e-07,0
19.1,5.30715669808288e-07,0
19.2,5.30715669808288e-07,0
19.3,5.30715669808288e-07,0
19.4,4.10418303867034e-07,0
19.5,4.10418303867034e-07,0
19.6,4.10418303867034e-07,0
19.7,4.10418303867034e-07,0
19.8,4.10418303867034e-07,0
19.9,4.10418303867034e-07,0
20,4.10418303867034e-07,0
