"inds","mw","rate_with_this_mw","importance_sampling_scenario_weights_basic","importance_sampling_scenario_weights_self_normalised","importance_sampling_scenario_rates_basic","importance_sampling_scenario_rates_self_normalised"
66014,8.1,0.00221191959625005,0,0,0,0
65645,8.1,0.00221191959625005,0,0,0,0
65527,8.1,0.00221191959625005,0,0,0,0
62350,8.1,0.00221191959625005,1.35748015943987,0.585742744343581,0.0030026369661857,0.00129561585457485
65879,8.1,0.00221191959625005,0,0,0,0
66079,8.1,0.00221191959625005,0,0,0,0
65812,8.1,0.00221191959625005,0,0,0,0
70806,8.2,0.00181419829863521,0,0,0,0
70771,8.2,0.00181419829863521,0,0,0,0
70586,8.2,0.00181419829863521,0,0,0,0
71077,8.2,0.00181419829863521,0,0,0,0
71566,8.2,0.00181419829863521,0,0,0,0
71050,8.2,0.00181419829863521,0,0,0,0
70762,8.2,0.00181419829863521,0,0,0,0
70984,8.2,0.00181419829863521,0,0,0,0
68063,8.2,0.00181419829863521,0.201092136979896,1,0.000364821012777845,0.00181419829863521
71038,8.2,0.00181419829863521,0,0,0,0
71212,8.2,0.00181419829863521,0,0,0,0
70896,8.2,0.00181419829863521,0,0,0,0
71037,8.2,0.00181419829863521,0,0,0,0
69434,8.2,0.00181419829863521,0,0,0,0
71016,8.2,0.00181419829863521,0,0,0,0
70666,8.2,0.00181419829863521,0,0,0,0
70690,8.2,0.00181419829863521,0,0,0,0
70866,8.2,0.00181419829863521,0,0,0,0
70896,8.2,0.00181419829863521,0,0,0,0
70861,8.2,0.00181419829863521,0,0,0,0
71039,8.2,0.00181419829863521,0,0,0,0
70677,8.2,0.00181419829863521,0,0,0,0
71086,8.2,0.00181419829863521,0,0,0,0
71080,8.2,0.00181419829863521,0,0,0,0
70992,8.2,0.00181419829863521,0,0,0,0
71078,8.2,0.00181419829863521,0,0,0,0
70659,8.2,0.00181419829863521,0,0,0,0
71354,8.2,0.00181419829863521,0,0,0,0
76126,8.3,0.00148900526197235,0,0,0,0
76130,8.3,0.00148900526197235,0,0,0,0
76107,8.3,0.00148900526197235,0,0,0,0
76205,8.3,0.00148900526197235,0,0,0,0
75871,8.3,0.00148900526197235,0,0,0,0
76262,8.3,0.00148900526197235,0,0,0,0
76100,8.3,0.00148900526197235,0,0,0,0
73605,8.3,0.00148900526197235,0.474369145123461,0.404568567048072,0.000706338153206159,0.000602404725163193
76230,8.3,0.00148900526197235,0,0,0,0
74733,8.3,0.00148900526197235,0,0,0,0
74003,8.3,0.00148900526197235,0.232137838271085,0.197980145952636,0.000345654462688532,0.000294793479089529
73841,8.3,0.00148900526197235,0.316191975566594,0.269666220457452,0.000470811515412092,0.000401534421237342
76306,8.3,0.00148900526197235,0,0,0,0
76037,8.3,0.00148900526197235,0,0,0,0
76345,8.3,0.00148900526197235,0,0,0,0
75729,8.3,0.00148900526197235,0,0,0,0
75848,8.3,0.00148900526197235,0,0,0,0
76162,8.3,0.00148900526197235,0,0,0,0
74812,8.3,0.00148900526197235,0,0,0,0
76153,8.3,0.00148900526197235,0,0,0,0
76053,8.3,0.00148900526197235,0,0,0,0
76149,8.3,0.00148900526197235,0,0,0,0
76326,8.3,0.00148900526197235,0,0,0,0
73511,8.3,0.00148900526197235,0.149831938791713,0.127785066541841,0.00022310054527238,0.000190272636482288
75344,8.3,0.00148900526197235,0,0,0,0
76006,8.3,0.00148900526197235,0,0,0,0
76097,8.3,0.00148900526197235,0,0,0,0
75725,8.3,0.00148900526197235,0,0,0,0
81331,8.4,0.0012203303533476,0,0,0,0
80129,8.4,0.0012203303533476,0,0,0,0
79397,8.4,0.0012203303533476,0.281606498705213,0.191406429109418,0.000343652958069912,0.000233579075268097
81270,8.4,0.0012203303533476,0,0,0,0
81200,8.4,0.0012203303533476,0,0,0,0
79469,8.4,0.0012203303533476,0.347892467528526,0.236460647143675,0.000424543737826053,0.000288560105081642
81448,8.4,0.0012203303533476,0,0,0,0
81347,8.4,0.0012203303533476,0,0,0,0
81534,8.4,0.0012203303533476,0,0,0,0
81241,8.4,0.0012203303533476,0,0,0,0
81479,8.4,0.0012203303533476,0,0,0,0
81368,8.4,0.0012203303533476,0,0,0,0
81340,8.4,0.0012203303533476,0,0,0,0
81397,8.4,0.0012203303533476,0,0,0,0
81976,8.4,0.0012203303533476,0,0,0,0
80805,8.4,0.0012203303533476,0,0,0,0
