"unique_mw","mean_optimal_samples_IS_including_constant"
7.2,6
7.3,6
7.4,6
7.5,6
7.6,6
7.7,6
7.8,6
7.9,6
8,10.945457766145
8.1,14.5645962032045
8.2,27.3385076784606
8.3,27.1751689164975
8.4,33.9634519475696
8.5,34.6502022541965
8.6,39.9773604361652
8.7,41.0559917781282
8.8,41.1717421246349
8.9,41.8437882532235
9,46.8078211310319
9.1,46.5692352426165
9.2,39.9220485950386
9.3,32.9879192435085
9.4,27.1837118095013
9.5,23.9006666306274
9.6,21.9423299894502
9.7,0
9.8,0
